noise_1_channel	noise_2_channel	noise_3_channel	noise_4_channel	amp_channel	trig_channel
32767	1	-18	0	28	1662
-32767	1	1	0	47	8242
32767	1	-18	-19	47	4434
-32767	1	-18	-19	28	5112
23494	-18	-18	-19	84	7318
-22530	1	-18	-19	9	2944
-6377	-18	1	-19	28	9147
3586	1	-18	-19	28	1549
-32767	-18	-18	-19	65	10033
29023	1	-18	-19	9	1097
-32767	1	1	-19	9	9486
32767	-18	-18	-19	28	2906
-32767	1	-18	-19	28	6639
32767	-18	-18	-19	47	6074
-32767	1	-18	-19	47	3906
9134	-18	-18	0	9	8374
-9604	1	-18	-19	65	2152
-21624	-18	-18	-19	47	9637
16965	1	-18	0	47	1153
-32767	1	-18	0	47	10146
32767	1	-18	-19	47	1606
-32767	1	-18	0	65	8223
32767	1	-18	0	47	4528
-32767	1	-18	-19	65	5188
23475	1	-18	-19	47	7356
-22606	1	-18	-19	47	2925
-6415	1	-18	-19	47	9109
3661	1	-18	-19	65	1587
-32767	1	-18	-19	28	10052
29004	1	-18	-19	84	1040
-32767	-18	-18	-19	65	9505
32767	1	-18	-19	47	2944
